"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"211",1.08081702764802e-35,1.59203299118918,0.468,0.108,2.81585260213139e-31,"10","NFKBID"
"212",2.77388244811792e-35,1.58852071696429,0.468,0.112,7.22679594208162e-31,"10","MAFF"
"213",8.74166465547944e-34,1.5505141290135,0.405,0.086,2.27746589269206e-29,"10","GRASP"
"214",1.66766427933646e-29,2.2077590144066,0.19,0.02,4.34476574695528e-25,"10","CSF2"
"215",2.00845099310736e-29,1.52416198824821,0.778,0.381,5.23261737234261e-25,"10","NFKB1"
"216",1.76981624764972e-25,1.55530695737726,0.81,0.474,4.61090227000181e-21,"10","REL"
"217",3.57465644562856e-25,1.71159833351482,0.73,0.334,9.3130524377961e-21,"10","NR4A1"
"218",3.6291257797417e-25,1.52479488265495,0.238,0.039,9.45496139396106e-21,"10","BCL2A1"
"219",8.96666144251505e-21,1.81043198903452,0.476,0.157,2.33608430561845e-16,"10","GZMB"
"220",1.50506621980136e-18,1.59352089922993,0.429,0.152,3.92114902244849e-14,"10","CD83"
"221",4.42876766593279e-10,0.973223596982771,0.165,0.041,1.15382684000547e-05,"11","CCND1"
"222",6.17962873820625e-09,0.982643820045117,0.209,0.068,0.000160997867516488,"11","APOE"
"223",3.71688653736853e-08,1.12328693722984,0.2,0.068,0.000968360449580623,"11","TIMP3"
"224",1.28861634880854e-07,1.00782401383327,0.209,0.075,0.00335723217355089,"11","S100A13"
"225",1.49606247704033e-07,0.848534084758813,0.183,0.061,0.00389769157143318,"11","CCN3"
"226",1.92551384340624e-07,0.995770448893753,0.183,0.062,0.00501654121622628,"11","PTGDS"
"227",2.68977825789098e-07,0.785625018730303,0.165,0.053,0.00700767929528337,"11","MLANA"
"228",5.89457586855508e-07,0.797292558139583,0.2,0.073,0.0153571385103465,"11","S100A1"
"229",6.30681629007391e-07,1.14499944408959,0.322,0.165,0.0164311484805296,"11","APOD"
"230",4.58419344924162e-06,1.29730516283751,0.357,0.226,0.119431991933092,"11","SELENOM"
"231",4.81367383346204e-06,0.956922523368153,0.183,0.071,0.125410644383187,"11","RCAN1"
"232",7.34097888350247e-06,1.11600540961604,0.157,0.059,0.19125452285189,"11","AEBP1"
"233",5.74261108288434e-05,1.0535607352712,0.174,0.077,1,"11","PMEL"
"234",7.99880090095985e-05,1.02916588100731,0.235,0.12,1,"11","CST3"
"235",0.000183973063311281,0.867751134764853,0.13,0.052,1,"11","CAV1"
"236",0.000190883286636403,0.877260996827457,0.157,0.069,1,"11","SPARC"
"237",0.000655650277962814,0.953297003630204,0.304,0.21,1,"11","ZRANB2"
"238",0.00312515800191985,0.959050576168483,0.148,0.078,1,"11","COL1A1"
"239",0.00870178903889196,1.00902790396745,0.27,0.195,1,"11","IFITM3"
"240",0.00876667498775965,0.80502426715809,0.165,0.096,1,"11","CRIP2"
"241",8.73811387637627e-148,2.23482648018453,0.628,0.031,2.27654080821231e-143,"12","ZNF683"
"242",5.80301061546825e-89,2.05421471732159,0.532,0.041,1.51185835564794e-84,"12","LINC02446"
"243",2.60593958669308e-62,2.23673562240631,0.468,0.046,6.78925440521148e-58,"12","TRBV2"
"244",1.77064368295057e-28,1.44737941033069,0.606,0.172,4.61305798719113e-24,"12","CD8B"
"245",6.46752729235703e-26,1.39083010708135,0.362,0.07,1.68498488547778e-21,"12","RCBTB2"
"246",1.21612816057579e-22,1.08796284333598,0.245,0.037,3.1683786967481e-18,"12","FXYD2"
"247",5.88838091247374e-21,1.07114880214591,0.277,0.05,1.53409987912678e-16,"12","KLRC4"
"248",2.79480686850953e-19,1.18544861670243,0.585,0.213,7.28131033452787e-15,"12","KLRK1"
"249",6.90468784854846e-19,2.05631716040244,0.202,0.03,1.79887832518233e-14,"12","TRAV38-2DV8"
"250",2.03093234581024e-15,1.17162790278676,0.904,0.722,5.29118804053943e-11,"12","TXNIP"
"251",1.99814768012466e-14,1.2922756408611,0.372,0.119,5.20577415102878e-10,"12","NCR3"
"252",2.20901239905865e-14,1.08228480870415,0.553,0.233,5.75514000326751e-10,"12","STOM"
"253",4.57199599022227e-14,1.04068122619734,0.372,0.122,1.19114211533261e-09,"12","LPAR6"
"254",5.85418144658346e-13,1.09866588119429,0.532,0.24,1.52518989227839e-08,"12","CAPG"
"255",5.58023447933898e-12,1.06382722954775,0.66,0.39,1.45381848890219e-07,"12","ARHGAP15"
